State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
OH,Ohio,11/01/2020,Y,P,Y,54252,Includes Renewals and/or Redeterminations,N/A,,54252,Includes Renewals and/or Redeterminations,32954,Includes CHIP; Includes Renewals and/or Redeterminations,1760,,34714,Includes Renewals and/or Redeterminations,1250134,,2931222,,38.4199,-117.1219,"(38.4199, -117.1219)",2734755,,196467,
HI,Hawaii,11/01/2020,Y,P,Y,5986,,N/A,,5986,,5021,,237,,5258,,152510,,379818,,32.9866,-83.6487,"(32.9866, -83.6487)",354152,,25666,
WI,Wisconsin,11/01/2020,N,P,Y,17502,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,17502,Does Not Include All Applications for Limited-Benefit Programs,16537,"Count is of Households, Not Individuals",1909,,18446,,556103,,1196167,,37.768,-78.2057,"(37.768, -78.2057)",1123653,,72514,
ID,Idaho,11/01/2020,Y,P,Y,11838,,,,11838,,8781,,430,,9211,,193586,,371288,,42.0046,-93.214,"(42.0046, -93.214)",344245,,27043,
MN,Minnesota,11/01/2020,Y,P,Y,3100,,18800,,21900,,9230,,,,9230,,567527,,1148255,,43.3504,-84.5603,"(43.3504, -84.5603)",1147077,,1178,
MA,Massachusetts,11/01/2020,Y,P,Y,9017,,3649,,12666,,7317,,610,,7927,,697469,,1699664,,31.1801,-91.8749,"(31.1801, -91.8749)",1501633,,198031,
SC,South Carolina,11/01/2020,N,P,Y,16997,,N/A,,16997,,5738,Does Not Include All Medicaid Determinations Made At Application,310,Does Not Include All CHIP Determinations Made At Application,6048,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,678995,,1105625,,40.5773,-77.264,"(40.5773, -77.264)",1005524,,100101,
OR,Oregon,11/01/2020,Y,P,Y,15356,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,15356,Does Not Include All Non-MAGI Applications,138198,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",8997,,147195,Does Not Include All Non-MAGI Determinations Made At Application,444113,,1123474,,40.3736,-82.7755,"(40.3736, -82.7755)",986438,,137036,
ND,North Dakota,11/01/2020,Y,P,Y,2691,,N/A,,2691,,2112,,45,,2157,,49373,,106012,,46.9048,-110.3261,"(46.9048, -110.3261)",103567,,2445,
IN,Indiana,11/01/2020,Y,P,Y,33911,,N/A,,33911,,29869,,2242,,32111,,872940,,1733176,,40.3363,-89.0022,"(40.3363, -89.0022)",1625133,,108043,
AZ,Arizona,11/01/2020,Y,P,Y,78956,,N/A,,78956,,,,,,,,,,1942802,,14.2417,-170.7197,"(14.2417, -170.7197)",1825481,,117321,
IL,Illinois,11/01/2020,Y,P,Y,77939,,N/A,,77939,,,,,,,,1428006,,3167577,,44.2394,-114.5103,"(44.2394, -114.5103)",2862987,,304590,
IA,Iowa,11/01/2020,Y,P,Y,7381,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,7381,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,8462,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,1347,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,9809,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,356988,,737449,,21.1098,-157.5311,"(21.1098, -157.5311)",656502,,80947,
WA,Washington,11/01/2020,Y,P,Y,83845,,86916,,170761,,34999,,1093,,36092,,852795,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1881545,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1810417,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),71128,
UT,Utah,11/01/2020,Y,P,Y,26191,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,26191,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",38863,Includes CHIP,,,38863,,213588,,381460,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",340343,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41117,
OK,Oklahoma,11/01/2020,N,P,Y,29085,Includes Renewals and/or Redeterminations,N/A,,29085,Includes Renewals and/or Redeterminations,44040,Includes Renewals and/or Redeterminations,6383,Includes Renewals and/or Redeterminations,50423,Includes Renewals and/or Redeterminations,578825,,854774,,42.1497,-74.9384,"(42.1497, -74.9384)",722661,,132113,
TN,Tennessee,11/01/2020,N,P,Y,24427,,N/A,,24427,,8116,,1256,,9372,,876353,,1559696,,41.6772,-71.5101,"(41.6772, -71.5101)",1428673,,131023,
SD,South Dakota,11/01/2020,N,P,Y,2748,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2748,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,833,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",833,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",85692,,121622,,18.2766,-66.335,"(18.2766, -66.335)",104926,,16696,
AR,Arkansas,11/01/2020,Y,P,Y,23738,,N/A,,23738,,8750,,745,,9495,,388423,,873761,,34.9513,-92.3809,"(34.9513, -92.3809)",837821,,35940,
MO,Missouri,11/01/2020,N,P,Y,12330,Includes Renewals and/or Redeterminations,N/A,,12330,Includes Renewals and/or Redeterminations,7171,Includes Renewals and/or Redeterminations,1243,Includes Renewals and/or Redeterminations,8414,Includes Renewals and/or Redeterminations,623698,,999264,,45.7326,-93.9196,"(45.7326, -93.9196)",959735,,39529,
KS,Kansas,11/01/2020,N,P,Y,,,N/A,,,,,,,,,,292543,,425646,,39.8647,-86.2604,"(39.8647, -86.2604)",360312,,65334,
AL,Alabama,11/01/2020,N,P,Y,7250,,N/A,,7250,,8763,,1207,,9970,,393954,,1012484,,32.799,-86.8073,"(32.799, -86.8073)",913844,,98640,
NM,New Mexico,11/01/2020,Y,P,Y,11599,,N/A,,11599,,9972,,946,,10918,,345077,Includes Limited-Benefit Enrollees,807831,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",766939,Includes Limited-Benefit Enrollees,40892,
CT,Connecticut,11/01/2020,Y,P,Y,4750,,11804,,16554,,14524,,317,,14841,,348368,,917572,,39.0646,-105.3272,"(39.0646, -105.3272)",898364,,19208,
NJ,New Jersey,11/01/2020,Y,P,Y,36046,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,36046,Does Not Include All Non-MAGI Applications,15037,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,2344,,17381,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,870139,,1874212,,41.1289,-98.2883,"(41.1289, -98.2883)",1633670,,240542,
NH,New Hampshire,11/01/2020,Y,P,Y,3260,,N/A,,3260,,3794,,452,,4246,,97458,,207883,,47.5362,-99.793,"(47.5362, -99.793)",191609,,16274,
ME,Maine,11/01/2020,Y,P,Y,5934,,N/A,,5934,,5914,,386,,6300,,113557,,244308,,39.0724,-76.7902,"(39.0724, -76.7902)",230606,,13702,
NY,New York,11/01/2020,Y,P,Y,,,673077,Includes Renewals and/or Redeterminations,673077,Includes Renewals and/or Redeterminations,85198,Includes Renewals and/or Redeterminations,6170,Includes Renewals and/or Redeterminations,91368,Includes Renewals and/or Redeterminations,2498301,Includes Retroactive Enrollments,6591224,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5982734,Includes Retroactive Enrollments,608490,
NE,Nebraska,11/01/2020,Y,P,Y,8260,,N/A,,8260,,7282,,925,,8207,,177830,,292298,,35.6411,-79.8431,"(35.6411, -79.8431)",257454,,34844,
WY,Wyoming,11/01/2020,N,P,Y,816,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,816,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,435,,20,,455,,41204,,62607,,44.0407,-72.7093,"(44.0407, -72.7093)",58104,,4503,
KY,Kentucky,11/01/2020,Y,P,Y,27823,,,,27823,,10367,,1331,,11698,,598686,,1532916,,38.5111,-96.8005,"(38.5111, -96.8005)",1432627,,100289,
DC,District of Columbia,11/01/2020,Y,P,Y,2446,Includes SBM data,1652,,4098,Includes Renewals and/or Redeterminations,2408,Includes Renewals and/or Redeterminations; Includes CHIP,,,2408,,94727,,258915,,41.5834,-72.7622,"(41.5834, -72.7622)",241541,,17374,
MI,Michigan,11/01/2020,Y,P,Y,31602,,N/A,,31602,,27390,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,898,,28288,,1009147,Does Not Include All Full-Benefit Child Medicaid enrollees,2598457,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2539473,Does Not Include All Full-Benefit Medicaid enrollees,58984,
PA,Pennsylvania,11/01/2020,Y,P,Y,78234,Includes Renewals and/or Redeterminations,N/A,,78234,Includes Renewals and/or Redeterminations,65209,Includes Renewals and/or Redeterminations,3493,,68702,Includes Renewals and/or Redeterminations,1472603,,3221295,,35.5376,-96.9247,"(35.5376, -96.9247)",3048410,,172885,
CO,Colorado,11/01/2020,Y,P,Y,18103,,159,,18262,,12197,,195,,12392,,610397,,1453384,,36.17,-119.7462,"(36.17, -119.7462)",1381994,,71390,
TX,Texas,11/01/2020,N,P,Y,84560,,N/A,,84560,,45762,,7230,,52992,,3707183,,4746443,,33.8191,-80.9066,"(33.8191, -80.9066)",4141078,,605365,
DE,Delaware,11/01/2020,Y,P,Y,5593,,N/A,,5593,,2168,,143,,2311,,113015,,251854,,38.8964,-77.0262,"(38.8964, -77.0262)",240666,,11188,
VT,Vermont,11/01/2020,Y,P,Y,1403,,1689,,3092,Includes Renewals and/or Redeterminations,2221,Includes Renewals and/or Redeterminations,45,,2266,,63539,,169380,,31.106,-97.6475,"(31.106, -97.6475)",165060,,4320,
AK,Alaska,11/01/2020,Y,P,Y,3756,Includes Renewals and/or Redeterminations,N/A,,3756,Includes Renewals and/or Redeterminations,1976,Includes Renewals and/or Redeterminations; Includes CHIP,120,,2096,Includes Renewals and/or Redeterminations,99352,,237622,,61.385,-152.2683,"(61.385, -152.2683)",224273,,13349,
WV,West Virginia,11/01/2020,Y,P,Y,11900,,N/A,,11900,,7254,,251,,7505,,224421,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),554374,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",520499,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33875,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MS,Mississippi,11/01/2020,N,P,Y,14454,,N/A,,14454,,7300,,294,,7594,,453564,,669452,,38.4623,-92.302,"(38.4623, -92.302)",587343,,82109,
